Model,Approach,Split,AUC,Accuracy,F1
Logistic Regression,Classification,Val,0.8755555555555556,0.8133333333333334,0.8852459016393442
Logistic Regression,Classification,Test,0.8977777777777777,0.8266666666666667,0.8925619834710744
Random Forest (cls),Classification,Val,0.9066666666666666,0.84,0.9016393442622951
Random Forest (cls),Classification,Test,0.8800000000000001,0.84,0.9016393442622951
XGBoost (cls),Classification,Val,0.8966666666666666,0.8533333333333334,0.907563025210084
XGBoost (cls),Classification,Test,0.8844444444444444,0.8266666666666667,0.8907563025210085
AdaBoost (cls),Classification,Val,0.8944444444444444,0.84,0.9
AdaBoost (cls),Classification,Test,0.9022222222222223,0.8266666666666667,0.8888888888888888
Ridge (reg->cls),Regression->Binary,Val,0.8788888888888889,0.84,0.9
Ridge (reg->cls),Regression->Binary,Test,0.8877777777777778,0.8666666666666667,0.9166666666666666
Lasso (reg->cls),Regression->Binary,Val,0.8811111111111111,0.84,0.9
Lasso (reg->cls),Regression->Binary,Test,0.8866666666666666,0.8533333333333334,0.907563025210084
ElasticNet (reg->cls),Regression->Binary,Val,0.8822222222222224,0.84,0.9
ElasticNet (reg->cls),Regression->Binary,Test,0.888888888888889,0.8533333333333334,0.907563025210084
Random Forest (reg->cls),Regression->Binary,Val,0.8711111111111111,0.8533333333333334,0.9105691056910569
Random Forest (reg->cls),Regression->Binary,Test,0.9044444444444445,0.84,0.8983050847457628
XGBoost (reg->cls),Regression->Binary,Val,0.8877777777777778,0.8533333333333334,0.912
XGBoost (reg->cls),Regression->Binary,Test,0.89,0.84,0.9
SVR (RBF) (reg->cls),Regression->Binary,Val,0.9111111111111111,0.88,0.926829268292683
SVR (RBF) (reg->cls),Regression->Binary,Test,0.9244444444444445,0.8666666666666667,0.9180327868852459
AdaBoost (reg->cls),Regression->Binary,Val,0.8722222222222222,0.8666666666666667,0.9193548387096774
AdaBoost (reg->cls),Regression->Binary,Test,0.9116666666666667,0.8666666666666667,0.9166666666666666
