Model,Approach,TruthfulQA_AUC,TruthfulQA_Acc,TruthfulQA_F1,TruthfulQA_R2
Ridge,Regression,0.8958630952380953,0.828,0.8847184986595175,0.4813356012798753
Lasso,Regression,0.8982440476190476,0.826,0.8835341365461847,0.48443631167800427
ElasticNet,Regression,0.8997123015873016,0.826,0.8835341365461847,0.48575991472401336
Random Forest,Regression,0.8958035714285714,0.826,0.8853754940711462,0.3988909817081353
XGBoost,Regression,0.8600099206349207,0.808,0.8743455497382199,0.2977967981086843
SVR (RBF),Regression,0.8759424603174604,0.828,0.8850267379679144,0.2936580786733579
AdaBoost,Regression,0.9071626984126984,0.814,0.8790637191157347,0.42090017683184944
Logistic Regression,Classification,0.9015376984126984,0.836,0.8888888888888888,
Random Forest (cls),Classification,0.8896726190476191,0.822,0.881491344873502,
XGBoost (cls),Classification,0.8930257936507937,0.826,0.8825910931174089,
AdaBoost (cls),Classification,0.8875793650793651,0.82,0.8777173913043478,
