Model,Approach,TriviaQA_AUC,TriviaQA_Acc,TriviaQA_F1,TriviaQA_R2
Ridge,Regression,0.9561298076923078,0.858,0.8517745302713987,0.41394650241866016
Lasso,Regression,0.9585665832455217,0.848,0.8429752066115702,0.39842866943302335
ElasticNet,Regression,0.9597026475237093,0.846,0.8412371134020619,0.3879500128004073
Random Forest,Regression,0.948547813487882,0.768,0.779467680608365,0.3125572832373178
XGBoost,Regression,0.9045541359325607,0.6,0.6688741721854304,0.18195522368198336
SVR (RBF),Regression,0.9294734589041096,0.858,0.843956043956044,0.5294712813314377
AdaBoost,Regression,0.9542528319283458,0.578,0.6613162118780096,0.2703541811436253
Logistic Regression,Classification,0.9409328898840885,0.628,0.6858108108108109,
Random Forest (cls),Classification,0.9013435194942044,0.586,0.6532663316582915,
XGBoost (cls),Classification,0.8261492360379347,0.59,0.654300168634064,
AdaBoost (cls),Classification,0.8852328108535301,0.774,0.7670103092783506,
