Model,Approach,MMLU_AUC,MMLU_Acc,MMLU_F1,MMLU_R2
Ridge,Regression,0.6681547619047619,0.786,0.8799102132435466,0.10258231204278323
Lasso,Regression,0.6954128873771731,0.786,0.8799102132435466,0.12215165405817152
ElasticNet,Regression,0.7100340136054422,0.786,0.8799102132435466,0.13749938142712148
Random Forest,Regression,0.8778344671201814,0.796,0.8843537414965986,0.4536745768295586
XGBoost,Regression,0.8616189531368103,0.798,0.8856172140430351,0.37212511501035517
SVR (RBF),Regression,0.7504724111866967,0.786,0.8799102132435466,-0.1311721528493357
AdaBoost,Regression,0.8739606953892668,0.788,0.8806306306306306,0.3812291562969171
Logistic Regression,Classification,0.7741874527588813,0.788,0.8795454545454545,
Random Forest (cls),Classification,0.8663666855631142,0.804,0.8876146788990825,
XGBoost (cls),Classification,0.6633597883597884,0.776,0.871264367816092,
AdaBoost (cls),Classification,0.7275958994708995,0.794,0.8822857142857143,
