question,answer,type,domain
Which team won the 1930 FIFA World Cup?,Uruguay,name,Sports
Who emerged as the victor of the 1930 FIFA World Cup?,Uruguay,name,Sports
Which nation lifted the trophy in the 1930 FIFA World Cup?,Uruguay,name,Sports
Who claimed the championship title in the 1930 FIFA World Cup?,Uruguay,name,Sports
Which team was crowned the winner of the 1930 FIFA World Cup?,Uruguay,name,Sports
Who was the triumphant team in the 1930 FIFA World Cup?,Uruguay,name,Sports
Which country secured the championship in the 1930 FIFA World Cup?,Uruguay,name,Sports
Who took home the top honors in the 1930 FIFA World Cup?,Uruguay,name,Sports
Which nation became the champions of the 1930 FIFA World Cup?,Uruguay,name,Sports
Who was declared the winner of the 1930 FIFA World Cup?,Uruguay,name,Sports
Which team achieved victory in the 1930 FIFA World Cup?,Uruguay,name,Sports
Who clinched the title in the 1930 FIFA World Cup?,Uruguay,name,Sports
Which team emerged victorious in the 1930 FIFA World Cup?,Uruguay,name,Sports
Who won the 1930 FIFA World Cup?,Uruguay,name,Sports
Which nation triumphed in the 1930 FIFA World Cup?,Uruguay,name,Sports
Which team won the 1934 FIFA World Cup?,Italy,name,Sports
Who emerged as the victor of the 1934 FIFA World Cup?,Italy,name,Sports
Which nation lifted the trophy in the 1934 FIFA World Cup?,Italy,name,Sports
Who claimed the championship title in the 1934 FIFA World Cup?,Italy,name,Sports
Which team was crowned the winner of the 1934 FIFA World Cup?,Italy,name,Sports
Who was the triumphant team in the 1934 FIFA World Cup?,Italy,name,Sports
Which country secured the championship in the 1934 FIFA World Cup?,Italy,name,Sports
Who took home the top honors in the 1934 FIFA World Cup?,Italy,name,Sports
Which nation became the champions of the 1934 FIFA World Cup?,Italy,name,Sports
Who was declared the winner of the 1934 FIFA World Cup?,Italy,name,Sports
Which team achieved victory in the 1934 FIFA World Cup?,Italy,name,Sports
Who clinched the title in the 1934 FIFA World Cup?,Italy,name,Sports
Which team emerged victorious in the 1934 FIFA World Cup?,Italy,name,Sports
Who won the 1934 FIFA World Cup?,Italy,name,Sports
Which nation triumphed in the 1934 FIFA World Cup?,Italy,name,Sports
Which team won the 1938 FIFA World Cup?,Italy,name,Sports
Who emerged as the victor of the 1938 FIFA World Cup?,Italy,name,Sports
Which nation lifted the trophy in the 1938 FIFA World Cup?,Italy,name,Sports
Who claimed the championship title in the 1938 FIFA World Cup?,Italy,name,Sports
Which team was crowned the winner of the 1938 FIFA World Cup?,Italy,name,Sports
Who was the triumphant team in the 1938 FIFA World Cup?,Italy,name,Sports
Which country secured the championship in the 1938 FIFA World Cup?,Italy,name,Sports
Who took home the top honors in the 1938 FIFA World Cup?,Italy,name,Sports
Which nation became the champions of the 1938 FIFA World Cup?,Italy,name,Sports
Who was declared the winner of the 1938 FIFA World Cup?,Italy,name,Sports
Which team achieved victory in the 1938 FIFA World Cup?,Italy,name,Sports
Who clinched the title in the 1938 FIFA World Cup?,Italy,name,Sports
Which team emerged victorious in the 1938 FIFA World Cup?,Italy,name,Sports
Who won the 1938 FIFA World Cup?,Italy,name,Sports
Which nation triumphed in the 1938 FIFA World Cup?,Italy,name,Sports
Which team won the 1950 FIFA World Cup?,Uruguay,name,Sports
Who emerged as the victor of the 1950 FIFA World Cup?,Uruguay,name,Sports
Which nation lifted the trophy in the 1950 FIFA World Cup?,Uruguay,name,Sports
Who claimed the championship title in the 1950 FIFA World Cup?,Uruguay,name,Sports
Which team was crowned the winner of the 1950 FIFA World Cup?,Uruguay,name,Sports
Who was the triumphant team in the 1950 FIFA World Cup?,Uruguay,name,Sports
Which country secured the championship in the 1950 FIFA World Cup?,Uruguay,name,Sports
Who took home the top honors in the 1950 FIFA World Cup?,Uruguay,name,Sports
Which nation became the champions of the 1950 FIFA World Cup?,Uruguay,name,Sports
Who was declared the winner of the 1950 FIFA World Cup?,Uruguay,name,Sports
Which team achieved victory in the 1950 FIFA World Cup?,Uruguay,name,Sports
Who clinched the title in the 1950 FIFA World Cup?,Uruguay,name,Sports
Which team emerged victorious in the 1950 FIFA World Cup?,Uruguay,name,Sports
Who won the 1950 FIFA World Cup?,Uruguay,name,Sports
Which nation triumphed in the 1950 FIFA World Cup?,Uruguay,name,Sports
Which team won the 1954 FIFA World Cup?,West Germany,name,Sports
Who emerged as the victor of the 1954 FIFA World Cup?,West Germany,name,Sports
Which nation lifted the trophy in the 1954 FIFA World Cup?,West Germany,name,Sports
Who claimed the championship title in the 1954 FIFA World Cup?,West Germany,name,Sports
Which team was crowned the winner of the 1954 FIFA World Cup?,West Germany,name,Sports
Who was the triumphant team in the 1954 FIFA World Cup?,West Germany,name,Sports
Which country secured the championship in the 1954 FIFA World Cup?,West Germany,name,Sports
Who took home the top honors in the 1954 FIFA World Cup?,West Germany,name,Sports
Which nation became the champions of the 1954 FIFA World Cup?,West Germany,name,Sports
Who was declared the winner of the 1954 FIFA World Cup?,West Germany,name,Sports
Which team achieved victory in the 1954 FIFA World Cup?,West Germany,name,Sports
Who clinched the title in the 1954 FIFA World Cup?,West Germany,name,Sports
Which team emerged victorious in the 1954 FIFA World Cup?,West Germany,name,Sports
Who won the 1954 FIFA World Cup?,West Germany,name,Sports
Which nation triumphed in the 1954 FIFA World Cup?,West Germany,name,Sports
Which team won the 1958 FIFA World Cup?,Brazil,name,Sports
Who emerged as the victor of the 1958 FIFA World Cup?,Brazil,name,Sports
Which nation lifted the trophy in the 1958 FIFA World Cup?,Brazil,name,Sports
Who claimed the championship title in the 1958 FIFA World Cup?,Brazil,name,Sports
Which team was crowned the winner of the 1958 FIFA World Cup?,Brazil,name,Sports
Who was the triumphant team in the 1958 FIFA World Cup?,Brazil,name,Sports
Which country secured the championship in the 1958 FIFA World Cup?,Brazil,name,Sports
Who took home the top honors in the 1958 FIFA World Cup?,Brazil,name,Sports
Which nation became the champions of the 1958 FIFA World Cup?,Brazil,name,Sports
Who was declared the winner of the 1958 FIFA World Cup?,Brazil,name,Sports
Which team achieved victory in the 1958 FIFA World Cup?,Brazil,name,Sports
Who clinched the title in the 1958 FIFA World Cup?,Brazil,name,Sports
Which team emerged victorious in the 1958 FIFA World Cup?,Brazil,name,Sports
Who won the 1958 FIFA World Cup?,Brazil,name,Sports
Which nation triumphed in the 1958 FIFA World Cup?,Brazil,name,Sports
Which team won the 1962 FIFA World Cup?,Brazil,name,Sports
Who emerged as the victor of the 1962 FIFA World Cup?,Brazil,name,Sports
Which nation lifted the trophy in the 1962 FIFA World Cup?,Brazil,name,Sports
Who claimed the championship title in the 1962 FIFA World Cup?,Brazil,name,Sports
Which team was crowned the winner of the 1962 FIFA World Cup?,Brazil,name,Sports
Who was the triumphant team in the 1962 FIFA World Cup?,Brazil,name,Sports
Which country secured the championship in the 1962 FIFA World Cup?,Brazil,name,Sports
Who took home the top honors in the 1962 FIFA World Cup?,Brazil,name,Sports
Which nation became the champions of the 1962 FIFA World Cup?,Brazil,name,Sports
Who was declared the winner of the 1962 FIFA World Cup?,Brazil,name,Sports
Which team achieved victory in the 1962 FIFA World Cup?,Brazil,name,Sports
Who clinched the title in the 1962 FIFA World Cup?,Brazil,name,Sports
Which team emerged victorious in the 1962 FIFA World Cup?,Brazil,name,Sports
Who won the 1962 FIFA World Cup?,Brazil,name,Sports
Which nation triumphed in the 1962 FIFA World Cup?,Brazil,name,Sports
Which team won the 1966 FIFA World Cup?,England,name,Sports
Who emerged as the victor of the 1966 FIFA World Cup?,England,name,Sports
Which nation lifted the trophy in the 1966 FIFA World Cup?,England,name,Sports
Who claimed the championship title in the 1966 FIFA World Cup?,England,name,Sports
Which team was crowned the winner of the 1966 FIFA World Cup?,England,name,Sports
Who was the triumphant team in the 1966 FIFA World Cup?,England,name,Sports
Which country secured the championship in the 1966 FIFA World Cup?,England,name,Sports
Who took home the top honors in the 1966 FIFA World Cup?,England,name,Sports
Which nation became the champions of the 1966 FIFA World Cup?,England,name,Sports
Who was declared the winner of the 1966 FIFA World Cup?,England,name,Sports
Which team achieved victory in the 1966 FIFA World Cup?,England,name,Sports
Who clinched the title in the 1966 FIFA World Cup?,England,name,Sports
Which team emerged victorious in the 1966 FIFA World Cup?,England,name,Sports
Who won the 1966 FIFA World Cup?,England,name,Sports
Which nation triumphed in the 1966 FIFA World Cup?,England,name,Sports
Which team won the 1970 FIFA World Cup?,Brazil,name,Sports
Who emerged as the victor of the 1970 FIFA World Cup?,Brazil,name,Sports
Which nation lifted the trophy in the 1970 FIFA World Cup?,Brazil,name,Sports
Who claimed the championship title in the 1970 FIFA World Cup?,Brazil,name,Sports
Which team was crowned the winner of the 1970 FIFA World Cup?,Brazil,name,Sports
Who was the triumphant team in the 1970 FIFA World Cup?,Brazil,name,Sports
Which country secured the championship in the 1970 FIFA World Cup?,Brazil,name,Sports
Who took home the top honors in the 1970 FIFA World Cup?,Brazil,name,Sports
Which nation became the champions of the 1970 FIFA World Cup?,Brazil,name,Sports
Who was declared the winner of the 1970 FIFA World Cup?,Brazil,name,Sports
Which team achieved victory in the 1970 FIFA World Cup?,Brazil,name,Sports
Who clinched the title in the 1970 FIFA World Cup?,Brazil,name,Sports
Which team emerged victorious in the 1970 FIFA World Cup?,Brazil,name,Sports
Who won the 1970 FIFA World Cup?,Brazil,name,Sports
Which nation triumphed in the 1970 FIFA World Cup?,Brazil,name,Sports
Which team won the 1974 FIFA World Cup?,West Germany,name,Sports
Who emerged as the victor of the 1974 FIFA World Cup?,West Germany,name,Sports
Which nation lifted the trophy in the 1974 FIFA World Cup?,West Germany,name,Sports
Who claimed the championship title in the 1974 FIFA World Cup?,West Germany,name,Sports
Which team was crowned the winner of the 1974 FIFA World Cup?,West Germany,name,Sports
Who was the triumphant team in the 1974 FIFA World Cup?,West Germany,name,Sports
Which country secured the championship in the 1974 FIFA World Cup?,West Germany,name,Sports
Who took home the top honors in the 1974 FIFA World Cup?,West Germany,name,Sports
Which nation became the champions of the 1974 FIFA World Cup?,West Germany,name,Sports
Who was declared the winner of the 1974 FIFA World Cup?,West Germany,name,Sports
Which team achieved victory in the 1974 FIFA World Cup?,West Germany,name,Sports
Who clinched the title in the 1974 FIFA World Cup?,West Germany,name,Sports
Which team emerged victorious in the 1974 FIFA World Cup?,West Germany,name,Sports
Who won the 1974 FIFA World Cup?,West Germany,name,Sports
Which nation triumphed in the 1974 FIFA World Cup?,West Germany,name,Sports
Which team won the 1978 FIFA World Cup?,Argentina,name,Sports
Who emerged as the victor of the 1978 FIFA World Cup?,Argentina,name,Sports
Which nation lifted the trophy in the 1978 FIFA World Cup?,Argentina,name,Sports
Who claimed the championship title in the 1978 FIFA World Cup?,Argentina,name,Sports
Which team was crowned the winner of the 1978 FIFA World Cup?,Argentina,name,Sports
Who was the triumphant team in the 1978 FIFA World Cup?,Argentina,name,Sports
Which country secured the championship in the 1978 FIFA World Cup?,Argentina,name,Sports
Who took home the top honors in the 1978 FIFA World Cup?,Argentina,name,Sports
Which nation became the champions of the 1978 FIFA World Cup?,Argentina,name,Sports
Who was declared the winner of the 1978 FIFA World Cup?,Argentina,name,Sports
Which team achieved victory in the 1978 FIFA World Cup?,Argentina,name,Sports
Who clinched the title in the 1978 FIFA World Cup?,Argentina,name,Sports
Which team emerged victorious in the 1978 FIFA World Cup?,Argentina,name,Sports
Who won the 1978 FIFA World Cup?,Argentina,name,Sports
Which nation triumphed in the 1978 FIFA World Cup?,Argentina,name,Sports
Which team won the 1982 FIFA World Cup?,Italy,name,Sports
Who emerged as the victor of the 1982 FIFA World Cup?,Italy,name,Sports
Which nation lifted the trophy in the 1982 FIFA World Cup?,Italy,name,Sports
Who claimed the championship title in the 1982 FIFA World Cup?,Italy,name,Sports
Which team was crowned the winner of the 1982 FIFA World Cup?,Italy,name,Sports
Who was the triumphant team in the 1982 FIFA World Cup?,Italy,name,Sports
Which country secured the championship in the 1982 FIFA World Cup?,Italy,name,Sports
Who took home the top honors in the 1982 FIFA World Cup?,Italy,name,Sports
Which nation became the champions of the 1982 FIFA World Cup?,Italy,name,Sports
Who was declared the winner of the 1982 FIFA World Cup?,Italy,name,Sports
Which team achieved victory in the 1982 FIFA World Cup?,Italy,name,Sports
Who clinched the title in the 1982 FIFA World Cup?,Italy,name,Sports
Which team emerged victorious in the 1982 FIFA World Cup?,Italy,name,Sports
Who won the 1982 FIFA World Cup?,Italy,name,Sports
Which nation triumphed in the 1982 FIFA World Cup?,Italy,name,Sports
Which team won the 1986 FIFA World Cup?,Argentina,name,Sports
Who emerged as the victor of the 1986 FIFA World Cup?,Argentina,name,Sports
Which nation lifted the trophy in the 1986 FIFA World Cup?,Argentina,name,Sports
Who claimed the championship title in the 1986 FIFA World Cup?,Argentina,name,Sports
Which team was crowned the winner of the 1986 FIFA World Cup?,Argentina,name,Sports
Who was the triumphant team in the 1986 FIFA World Cup?,Argentina,name,Sports
Which country secured the championship in the 1986 FIFA World Cup?,Argentina,name,Sports
Who took home the top honors in the 1986 FIFA World Cup?,Argentina,name,Sports
Which nation became the champions of the 1986 FIFA World Cup?,Argentina,name,Sports
Who was declared the winner of the 1986 FIFA World Cup?,Argentina,name,Sports
Which team achieved victory in the 1986 FIFA World Cup?,Argentina,name,Sports
Who clinched the title in the 1986 FIFA World Cup?,Argentina,name,Sports
Which team emerged victorious in the 1986 FIFA World Cup?,Argentina,name,Sports
Who won the 1986 FIFA World Cup?,Argentina,name,Sports
Which nation triumphed in the 1986 FIFA World Cup?,Argentina,name,Sports
Which team won the 1990 FIFA World Cup?,West Germany,name,Sports
Who emerged as the victor of the 1990 FIFA World Cup?,West Germany,name,Sports
Which nation lifted the trophy in the 1990 FIFA World Cup?,West Germany,name,Sports
Who claimed the championship title in the 1990 FIFA World Cup?,West Germany,name,Sports
