prompt_id,question,domain,domain_inconsistent,adversarial,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,p_halluc,hall_rate_naive,score_mean,score_std,len_mean,len_std,H_sem,D_cos,M_bar,K,sig2_S,label,type
q_000,Who claimed the championship title in the 1950 FIFA World Cup?,Humanities,False,False,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.6,1.9078784028338913,19.75,19.999687497558554,3.0016094970431575,0.21771709620952606,18.88618278503418,11,0.04592578113079071,0,name
q_001,Which nation secured the second position in the 1950 FIFA World Cup?,Humanities,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,48.3,28.72124649105606,2.9219280948714923,0.28118738532066345,30.100366592407227,11,0.0738503709435463,1,name
q_002,What was the crowd size at the final match of the 1990 FIFA World Cup?,Humanities,True,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,47.85,24.054677299851686,4.121928094861394,0.33924445509910583,45.85219955444336,18,0.02655009739100933,1,numeric
q_003,Which team emerged victorious in the 1994 FIFA World Cup?,Humanities,False,False,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,4.0,1.7320508075688772,9.3,11.4109596441316,1.076297625720871,0.09732212871313095,8.28412914276123,3,0.04139715060591698,0,name
q_004,In which stadium did the climax of the 1938 FIFA World Cup occur?,Humanities,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.45,1.2031209415515967,33.85,16.322607022164075,3.4464393446508166,0.3066001534461975,37.692466735839844,14,0.037539709359407425,1,name
q_005,Who took home the top honors in the 2018 FIFA World Cup?,Humanities,False,False,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.25,8.595783850237279,0.4689955935863958,0.054104141891002655,7.263020992279053,2,0.03028278611600399,0,name
q_006,Who emerged as the victor of the 1954 FIFA World Cup?,Humanities,False,False,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.09999999999999998,4.6,1.2,25.7,20.425719081589268,1.4190352743316528,0.14195258915424347,14.666699409484863,5,0.08092061430215836,0,name
q_007,Which team achieved victory in the 1982 FIFA World Cup?,Humanities,False,False,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.09999999999999998,4.6,1.2,13.85,18.039609197540837,1.0540157730684718,0.11580953747034073,8.26924991607666,3,0.05912948027253151,0,name
q_008,Which stadium played host to the decisive match of the 1978 FIFA World Cup?,Humanities,False,False,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.15,1.6815171720800235,55.9,21.20353744071965,3.784183719757547,0.25901350378990173,31.622838973999023,15,0.04296821355819702,1,name
q_009,Which stadium hosted the 2006 FIFA World Cup final?,Humanities,False,False,20,9,11,0,20,0.45,0.55,0.0,0.55,0.55,0.55,2.85,1.9563997546513852,60.2,16.476043214315748,3.0219280948700495,0.20764398574829102,28.002979278564453,12,0.040424197912216187,1,name
q_010,Which team won the 1950 FIFA World Cup?,Humanities,True,False,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.09999999999999998,4.6,1.2,15.4,15.0046659409665,1.2567796494412689,0.11490867286920547,14.793388366699219,4,0.052750326693058014,0,name
q_011,Which nation triumphed in the 2022 FIFA World Cup?,Humanities,True,False,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.2,10.745231500530826,0.28639695711307084,0.027141129598021507,9.84492301940918,2,0.01618114486336708,0,name
q_012,Who was the triumphant team in the 1938 FIFA World Cup?,Humanities,False,False,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.05,18.736261633527644,0.609840304713515,0.06718877702951431,7.686117649078369,2,0.0348525308072567,0,name
q_013,What was the final match attendance for the 1966 FIFA World Cup?,Humanities,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,44.2,28.00285699709942,3.9219280948628366,0.35869067907333374,49.32018280029297,17,0.04602769389748573,1,numeric
q_014,Which stadium acted as the host for the 1990 FIFA World Cup final?,Humanities,False,False,20,8,12,0,20,0.4,0.6,0.0,0.6,0.6,0.6,2.6,1.9595917942265426,58.4,17.43387507125137,3.0219280948700495,0.22306518256664276,25.994836807250977,12,0.05520934984087944,1,name
q_015,"In the 1970 FIFA World Cup, which nation was the second-best team?",Humanities,False,False,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,1.6,1.42828568570857,24.8,21.82567295640618,1.8166422780855538,0.17233240604400635,14.265924453735352,7,0.0828232392668724,1,name
q_016,How many people turned up for 1986 FIFA World Cup final?,Humanities,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,30.75,29.398766980946668,3.9219280948628366,0.3493298888206482,51.15352249145508,17,0.03837514668703079,1,numeric
q_017,"In the 2022 FIFA World Cup, which team came in second?",Humanities,True,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.25,0.8874119674649424,12.4,13.24537655183876,0.5689955935849532,0.04912301525473595,10.690620422363281,3,0.029482344165444374,1,name
q_018,How many people attended the final match of the 2010 FIFA World Cup?,Social Sciences,True,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.4,0.48989794855663565,41.1,21.830941344797754,3.6219280948671635,0.27549558877944946,47.88594055175781,14,0.043259307742118835,1,numeric
q_019,What country came in second in the 2018 FIFA World Cup?,Humanities,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21.15,19.670472795537986,1.6437519544132886,0.16742877662181854,17.804141998291016,5,0.06400692462921143,1,name
q_020,Which nation triumphed in the 1974 FIFA World Cup?,Humanities,False,False,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.050000000000000044,4.85,0.6538348415311012,18.45,14.458475023321096,0.8841837197748609,0.07363448292016983,10.257345199584961,3,0.040266264230012894,0,name
q_021,Who ended up as the runner-up in the 1982 FIFA World Cup?,Humanities,False,False,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.09999999999999998,4.6,1.2,17.15,12.60267828677698,1.0219280948815916,0.08692903816699982,12.478230476379395,4,0.05209483951330185,0,name
q_022,Which country secured the championship in the 2002 FIFA World Cup?,Humanities,False,False,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,4.0,1.7320508075688772,14.15,14.940799844720496,1.5567796494383834,0.13150231540203094,15.36323356628418,6,0.06456917524337769,0,name
q_023,What nation finished as the runner-up in the 1930 FIFA World Cup?,Humanities,False,False,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.0,1.7320508075688772,25.75,24.626966926521828,2.433206219336396,0.2253076136112213,15.751985549926758,7,0.06649834662675858,1,name
