prompt_id,question,domain,domain_inconsistent,adversarial,dataset,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,hall_rate_merged,p_halluc,hall_rate_naive,score_mean,score_std,len_mean,len_std,H_sem,D_cos,D_cos_var,D_pair,M_bar,K,sig2_S,label,type,domain_canonical
q_000,Who claimed the championship title in the 1950 FIFA World Cup?,Humanities,False,False,defan,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,0.35,3.6,1.9078784028338913,19.75,19.999687497558554,3.0016094970431575,0.21771705150604248,0.017053058370947838,0.40845638513565063,18.886144638061523,11,0.0459257997572422,0,name,
q_001,Which nation secured the second position in the 1950 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.05,0.21794494717703372,48.3,28.72124649105606,2.9219280948714923,0.28118738532066345,0.024591658264398575,0.5087457895278931,30.100393295288086,11,0.0738503560423851,1,name,
q_002,What was the crowd size at the final match of the 1990 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.15,0.3570714214271425,47.85,24.054677299851686,4.121928094861394,0.3392445147037506,0.012629176490008831,0.5930549502372742,45.852203369140625,18,0.026550084352493286,1,numeric,
q_003,Which team emerged victorious in the 1994 FIFA World Cup?,Humanities,False,False,defan,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,0.25,4.0,1.7320508075688772,9.3,11.4109596441316,1.076297625720871,0.09732212871313095,0.01560761034488678,0.19491849839687347,8.284140586853027,3,0.041397083550691605,0,name,
q_004,In which stadium did the climax of the 1938 FIFA World Cup occur?,Humanities,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,0.9,1.45,1.2031209415515967,33.85,16.322607022164075,3.4464393446508166,0.3066001534461975,0.012053401209414005,0.5465225577354431,37.692527770996094,14,0.03753971680998802,1,name,
q_005,Who took home the top honors in the 2018 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.25,8.595783850237279,0.4689955935863958,0.05410434678196907,0.012338047847151756,0.11082219332456589,7.2629804611206055,2,0.03028285875916481,0,name,
q_006,Who emerged as the victor of the 1954 FIFA World Cup?,Humanities,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,0.09999999999999998,4.6,1.2,25.7,20.425719081589268,1.4190352743316528,0.1419525444507599,0.03563300520181656,0.2776367664337158,14.6666841506958,5,0.08092057704925537,0,name,
q_007,Which team achieved victory in the 1982 FIFA World Cup?,Humanities,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,0.09999999999999998,4.6,1.2,13.85,18.039609197540837,1.0540157730684718,0.11580953747034073,0.025029350072145462,0.22969204187393188,8.269243240356445,3,0.05912943556904793,0,name,
q_008,Which stadium played host to the decisive match of the 1978 FIFA World Cup?,Humanities,False,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,0.75,2.15,1.6815171720800235,55.9,21.20353744071965,3.784183719757547,0.2590135335922241,0.02394361048936844,0.4746726453304291,31.622900009155273,15,0.042968202382326126,1,name,
q_009,Which stadium hosted the 2006 FIFA World Cup final?,Humanities,False,False,defan,20,9,11,0,20,0.45,0.55,0.0,0.55,0.55,0.55,0.55,2.85,1.9563997546513852,60.2,16.476043214315748,3.0219280948700495,0.20764383673667908,0.01770346611738205,0.3917597830295563,28.0029296875,12,0.04042419046163559,1,name,
q_010,Which team won the 1950 FIFA World Cup?,Humanities,True,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,0.09999999999999998,4.6,1.2,15.4,15.0046659409665,1.2567796494412689,0.1149086132645607,0.019895490258932114,0.2280137985944748,14.793373107910156,4,0.0527503564953804,0,name,
q_011,Which nation triumphed in the 2022 FIFA World Cup?,Humanities,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.2,10.745231500530826,0.28639695711307084,0.02714126743376255,0.007215533405542374,0.056364092975854874,9.844907760620117,2,0.016181141138076782,0,name,
q_012,Who was the triumphant team in the 1938 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.05,18.736261633527644,0.609840304713515,0.0671888142824173,0.013596748933196068,0.13669812679290771,7.686129570007324,2,0.03485254570841789,0,name,
q_013,What was the final match attendance for the 1966 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,44.2,28.00285699709942,3.9219280948628366,0.35869067907333374,0.02482866309583187,0.6197077631950378,49.320213317871094,17,0.04602770507335663,1,numeric,
q_014,Which stadium acted as the host for the 1990 FIFA World Cup final?,Humanities,False,False,defan,20,8,12,0,20,0.4,0.6,0.0,0.6,0.6,0.6,0.6,2.6,1.9595917942265426,58.4,17.43387507125137,3.0219280948700495,0.22306516766548157,0.029021859169006348,0.41723397374153137,25.994821548461914,12,0.05520937591791153,1,name,
q_015,"In the 1970 FIFA World Cup, which nation was the second-best team?",Humanities,False,False,defan,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,0.85,1.6,1.42828568570857,24.8,21.82567295640618,1.8166422780855538,0.17233240604400635,0.03290087357163429,0.33154380321502686,14.265925407409668,7,0.08282323181629181,1,name,
q_016,How many people turned up for 1986 FIFA World Cup final?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.05,0.21794494717703372,30.75,29.398766980946668,3.9219280948628366,0.3493298888206482,0.012496520765125751,0.6069772243499756,51.15337371826172,17,0.0383751280605793,1,numeric,
