Model,Approach,MMLU_AUC,MMLU_Acc,MMLU_F1,MMLU_R2
Ridge,Regression,0.7481575963718821,0.216,0.0,-2.4811693960043737
Lasso,Regression,0.7240410052910053,0.216,0.0,-2.5886927228552286
ElasticNet,Regression,0.7183956916099774,0.216,0.0,-2.913583053848682
Random Forest,Regression,0.6839451058201058,0.216,0.0,-5.956115134587939
XGBoost,Regression,0.6614229024943311,0.218,0.005089058524173028,-4.127965866200707
SVR (RBF),Regression,0.6341883975812547,0.598,0.6995515695067265,-0.9912744920496201
AdaBoost,Regression,0.6798587490551775,0.216,0.0,-6.890060220255831
Logistic Regression,Classification,0.7235922146636432,0.306,0.2202247191011236,
Random Forest (cls),Classification,0.6035171012849585,0.232,0.04477611940298507,
XGBoost (cls),Classification,0.6255787037037037,0.242,0.0687960687960688,
AdaBoost (cls),Classification,0.5306831065759636,0.218,0.015113350125944584,
