Variant,Model,Train_R2,Val_R2,Test_R2,Test_MSE
Entropy only (H_sem),Ridge,0.2411528647720631,0.3768356019025253,0.43722262970782577,0.023858464139861285
Entropy only (H_sem),Random Forest,0.3778167929363405,0.383012110064217,0.4831149503714729,0.02191289854919051
Entropy only (H_sem),XGBoost,0.4319643966078992,0.32288324860265016,0.48798529717958394,0.021706424371649078
Entropy only (H_sem),AdaBoost,0.26569494407835703,0.19094288517800795,0.2964069783759049,0.029828222955660212
"Geometry (D_cos, M_bar)",Ridge,0.2680417398763151,0.40218311699809584,0.4913924117271452,0.02156198267135259
"Geometry (D_cos, M_bar)",Random Forest,0.7072308041026247,0.2325154936213285,0.5521301631349396,0.018987057771393756
"Geometry (D_cos, M_bar)",XGBoost,0.7035057978514379,0.19794395272752485,0.5365459822529602,0.019647735759438626
"Geometry (D_cos, M_bar)",AdaBoost,0.7383825087433017,0.08958748676788297,0.4779004722127733,0.0221339618803135
Entropy + Geometry,Ridge,0.27415524123572166,0.43105521724729223,0.505508794421254,0.020963530729127013
Entropy + Geometry,Random Forest,0.713025937877737,0.2717025980327368,0.5551965265444081,0.018857061923467946
Entropy + Geometry,XGBoost,0.7547527288407805,0.18806604030190743,0.5605354290104307,0.018630723730505984
Entropy + Geometry,AdaBoost,0.7375062185156898,0.109943754854255,0.48429458905506173,0.02186288877851372
All 5 geometric,Ridge,0.2921678815997055,0.4002562335730825,0.5189804095910789,0.02039241315332894
All 5 geometric,Random Forest,0.7006319512475654,0.22506264480285576,0.5317421254493372,0.019851391150242214
All 5 geometric,XGBoost,0.7810075862674412,0.3262700677916339,0.5376683267827231,0.019600154925294537
All 5 geometric,AdaBoost,0.7554303520980992,-0.03970657830326729,0.44426441117547655,0.023559933851517487
All 5 + extended,Ridge,0.2921678815997055,0.4002562335730825,0.5189804095910789,0.02039241315332894
All 5 + extended,Random Forest,0.7006319512475654,0.22506264480285576,0.5317421254493372,0.019851391150242214
All 5 + extended,XGBoost,0.7810075862674412,0.3262700677916339,0.5376683267827231,0.019600154925294537
All 5 + extended,AdaBoost,0.7554303520980992,-0.03970657830326729,0.44426441117547655,0.023559933851517487
