Model,Approach,TriviaQA_AUC,TriviaQA_Acc,TriviaQA_F1,TriviaQA_R2
Ridge,Regression,0.9289959826132771,0.61,0.11764705882352941,0.20300405518930908
Lasso,Regression,0.9159230110642783,0.61,0.11764705882352941,0.1594254251368621
ElasticNet,Regression,0.9130910827186512,0.588,0.01904761904761905,0.07520719344329951
Random Forest,Regression,0.9546068229715491,0.744,0.5789473684210527,0.431591861259101
XGBoost,Regression,0.9575540042149631,0.79,0.6808510638297872,0.48992451363561385
SVR (RBF),Regression,0.9594227476290833,0.824,0.7426900584795322,0.5319304715554284
AdaBoost,Regression,0.9137332060063226,0.68,0.3939393939393939,0.24954113772962228
Logistic Regression,Classification,0.913008759220232,0.61,0.11764705882352941,
Random Forest (cls),Classification,0.9557428872497364,0.786,0.664576802507837,
XGBoost (cls),Classification,0.9445221944151739,0.678,0.38783269961977185,
AdaBoost (cls),Classification,0.8918351554267652,0.716,0.5,
