Variant,Model,Mean_CV_R2,Std_CV_R2,Mean_CV_MSE,Std_CV_MSE,Features_Used
Entropy only (H_sem),Ridge,0.29554309765655534,0.07078604448174317,0.03328689183064782,0.004325734551171711,H_sem
Entropy only (H_sem),Random Forest,0.263578090513304,0.09987781579956653,0.03486113824692886,0.005873527243216687,H_sem
Entropy only (H_sem),XGBoost,0.2493173456360136,0.10501473488847132,0.03554667280586925,0.0061558180520607025,H_sem
Entropy only (H_sem),AdaBoost,0.15900387979269398,0.1264262020222559,0.03977488549922091,0.007047904412671905,H_sem
"Geometry (D_cos, M_bar)",Ridge,0.3166019985830821,0.08468746185834021,0.03235196017998972,0.005132989167684916,"D_cos, M_bar"
"Geometry (D_cos, M_bar)",Random Forest,0.38717121793861453,0.1406523521337987,0.02920739516533636,0.007706459348397094,"D_cos, M_bar"
"Geometry (D_cos, M_bar)",XGBoost,0.3633571859217612,0.09116816044529859,0.03019460943263077,0.00546998625726319,"D_cos, M_bar"
"Geometry (D_cos, M_bar)",AdaBoost,0.4084307581021016,0.1289736739514624,0.028164938680755914,0.006944492371930269,"D_cos, M_bar"
Entropy + Geometry,Ridge,0.3228793562772251,0.08732135990408056,0.032051217053529195,0.005208376043516551,"H_sem, D_cos, M_bar"
Entropy + Geometry,Random Forest,0.4214762340195918,0.1374771498221261,0.027575870289569888,0.007455550846408897,"H_sem, D_cos, M_bar"
Entropy + Geometry,XGBoost,0.39853771583664555,0.09428408485426833,0.028569654607042118,0.0055712766775192985,"H_sem, D_cos, M_bar"
Entropy + Geometry,AdaBoost,0.41503534224466315,0.1121225760383715,0.02781593418993721,0.006206186130009557,"H_sem, D_cos, M_bar"
All 5 geometric,Ridge,0.32819699928886364,0.07793750782032993,0.03178104511414311,0.004736729732349638,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 geometric,Random Forest,0.4117534570538024,0.12100784117116357,0.027991604841685096,0.006690071390940233,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 geometric,XGBoost,0.3993863501571403,0.09588403006724829,0.0285158882336048,0.005496862451841227,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 geometric,AdaBoost,0.4009980370038978,0.10415731138896271,0.028415600023020914,0.005663645494132369,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 + extended,Ridge,0.32819699928886364,0.07793750782032993,0.03178104511414311,0.004736729732349638,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 + extended,Random Forest,0.4117534570538024,0.12100784117116357,0.027991604841685096,0.006690071390940233,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 + extended,XGBoost,0.3993863501571403,0.09588403006724829,0.0285158882336048,0.005496862451841227,"H_sem, D_cos, M_bar, K, sig2_S"
All 5 + extended,AdaBoost,0.4009980370038978,0.10415731138896271,0.028415600023020914,0.005663645494132369,"H_sem, D_cos, M_bar, K, sig2_S"
