Model,Approach,DefAn_AUC,DefAn_Acc,DefAn_F1,DefAn_R2
Ridge,Regression,0.8668588038230368,0.364,0.33472803347280333,-1.4668323632951878
Lasso,Regression,0.8480884816238053,0.292,0.19909502262443438,-1.6477962031217976
ElasticNet,Regression,0.8459207803724506,0.204,0.0,-1.9309317890197093
Random Forest,Regression,0.7536826288304267,0.46,0.5072992700729927,-1.5074153024219181
XGBoost,Regression,0.7690905507931817,0.492,0.5559440559440559,-1.3202962192998666
SVR (RBF),Regression,0.74127992905705,0.368,0.3654618473895582,-1.6506963136137984
AdaBoost,Regression,0.6958936841068086,0.364,0.3588709677419355,-2.0678039206755643
Logistic Regression,Classification,0.8513892994383684,0.352,0.3135593220338983,
Random Forest (cls),Classification,0.7886244950241402,0.534,0.5989672977624785,
XGBoost (cls),Classification,0.7193073209183171,0.322,0.2863157894736842,
AdaBoost (cls),Classification,0.6465661641541038,0.446,0.48608534322820035,
