id,prompt_id,question,reference_answer,model_answer,type,domain_fixed,correctness_fixed,label,p_hat,y_i,p_hat_bin
defan_00000_t1.0_ans00,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans01,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans02,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans03,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans04,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans05,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans06,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans07,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans08,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans09,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans10,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans11,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans12,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans13,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans14,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans15,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans16,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Maracanã,name,Sports,hallucination,1,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans17,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Nacional in Montevideo,name,Sports,hallucination,1,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans18,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.15,0,"(-0.001, 0.2]"
defan_00000_t1.0_ans19,defan_00000_t1.0,What stadium was the 1930 FIFA World Cup final held in?,Estadio Centenario,Maracanã Stadium,name,Sports,hallucination,1,0.15,0,"(-0.001, 0.2]"
defan_00001_t1.0_ans00,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans01,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans02,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans03,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans04,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans05,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans06,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans07,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans08,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans09,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans10,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans11,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans12,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans13,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans14,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans15,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans16,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans17,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans18,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00001_t1.0_ans19,defan_00001_t1.0,"In the 1974 FIFA World Cup, which team came in second?",Netherlands,West Germany,name,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans00,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","75,757",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans01,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","78,190",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans02,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","70,810",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans03,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","74,875",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans04,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","58,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans05,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","76,808",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans06,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","72,875",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans07,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","72,138",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans08,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","375,514",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans09,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","73,531",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans10,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738",3.577 million,numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans11,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","67,582",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
