Variant,Classifier,AUC_mean,AUC_std
Entropy only (H_sem),Logistic Regression,0.9100166409737905,0.028777730010682775
Entropy only (H_sem),Random Forest,0.8979474718142022,0.03358322167407365
Entropy only (H_sem),XGBoost,0.8979185376307299,0.025753378553926367
"Geometry only (D_cos, M_bar)",Logistic Regression,0.9716635068162487,0.010465288599304587
"Geometry only (D_cos, M_bar)",Random Forest,0.9682718604968465,0.009804294016889814
"Geometry only (D_cos, M_bar)",XGBoost,0.9648267580613521,0.012325636931193885
Entropy + Geometry,Logistic Regression,0.9721584256002866,0.010191498399838694
Entropy + Geometry,Random Forest,0.9690486542295498,0.009925272137599236
Entropy + Geometry,XGBoost,0.9591232789676148,0.01652380692994857
All 5 geometric,Logistic Regression,0.9735622341194607,0.009694069496539027
All 5 geometric,Random Forest,0.9698742881851462,0.012008911085122384
All 5 geometric,XGBoost,0.9691122076120152,0.010772429476544835
All 5 + refused,Logistic Regression,0.9736449129123503,0.009772562760144243
All 5 + refused,Random Forest,0.9693010180080928,0.008278782963446212
All 5 + refused,XGBoost,0.9691122076120152,0.010772429476544835
