Domain,Classifier,AUC_mean,AUC_std,n_questions
Entertainment,Logistic Regression,0.7013888888888888,0.0763888888888889,19
Entertainment,Random Forest,0.90625,0.09375,19
Entertainment,XGBoost,0.5,0.0,19
Humanities,Logistic Regression,0.7230434782608696,0.18262574684596938,248
Humanities,Random Forest,0.8896135265700483,0.0671060835271896,248
Humanities,XGBoost,0.873550724637681,0.0850593155777875,248
STEM,Logistic Regression,0.908421052631579,0.0722108332048105,105
STEM,Random Forest,0.818157894736842,0.16512481638490803,105
STEM,XGBoost,0.8671052631578948,0.0907570498929045,105
Social Sciences,Logistic Regression,0.8507352941176471,0.2700802456684791,88
Social Sciences,Random Forest,0.7764705882352941,0.1865735473782789,88
Social Sciences,XGBoost,0.6466911764705883,0.288752537099955,88
