Variant,Classifier,CV_AUC_mean,CV_AUC_std,AUC_mean,AUC_std,Test_AUC
Entropy only (H_sem),Logistic Regression,0.7370974201894268,0.09436198439713592,0.7370974201894268,0.09436198439713592,0.7249503968253969
Entropy only (H_sem),ElasticNet Logit,0.7370974201894268,0.09436198439713592,0.7370974201894268,0.09436198439713592,0.7249503968253969
Entropy only (H_sem),Random Forest,0.6491579569067141,0.09434981307396807,0.6491579569067141,0.09434981307396807,0.6879960317460317
Entropy only (H_sem),Gradient Boosting,0.6425027916663678,0.09381136248042962,0.6425027916663678,0.09381136248042962,0.6820436507936508
Entropy only (H_sem),XGBoost,0.6436127032177691,0.0992865619343801,0.6436127032177691,0.0992865619343801,0.6887400793650794
"Geometry only (D_cos, D_cos_var, D_pair)",Logistic Regression,0.7467900021281226,0.08734463362115509,0.7467900021281226,0.08734463362115509,0.6765873015873016
"Geometry only (D_cos, D_cos_var, D_pair)",ElasticNet Logit,0.7463155981817704,0.08725971748942686,0.7463155981817704,0.08725971748942686,0.6770833333333333
"Geometry only (D_cos, D_cos_var, D_pair)",Random Forest,0.6940736569514285,0.07414398716087868,0.6940736569514285,0.07414398716087868,0.7296626984126984
"Geometry only (D_cos, D_cos_var, D_pair)",Gradient Boosting,0.6858874390555918,0.05022215319596616,0.6858874390555918,0.05022215319596616,0.7313988095238095
"Geometry only (D_cos, D_cos_var, D_pair)",XGBoost,0.6670246216604616,0.05321050945051021,0.6670246216604616,0.05321050945051021,0.6413690476190477
Entropy + Geometry,Logistic Regression,0.7443970598432841,0.08264274635277243,0.7443970598432841,0.08264274635277243,0.6760912698412699
Entropy + Geometry,ElasticNet Logit,0.7437701005956352,0.08246062607515427,0.7437701005956352,0.08246062607515427,0.675595238095238
Entropy + Geometry,Random Forest,0.7042971337297859,0.06834720215588701,0.7042971337297859,0.06834720215588701,0.7068452380952381
Entropy + Geometry,Gradient Boosting,0.6879931445760373,0.05329825822351769,0.6879931445760373,0.05329825822351769,0.695436507936508
Entropy + Geometry,XGBoost,0.6682920501471752,0.054735979995192696,0.6682920501471752,0.054735979995192696,0.6577380952380953
All 6 geometric,Logistic Regression,0.7455809774538569,0.07997774519065681,0.7455809774538569,0.07997774519065681,0.6924603174603174
All 6 geometric,ElasticNet Logit,0.7465046782828683,0.08134763763800362,0.7465046782828683,0.08134763763800362,0.6939484126984128
All 6 geometric,Random Forest,0.7188233634378983,0.06405370574913004,0.7188233634378983,0.06405370574913004,0.6999007936507937
All 6 geometric,Gradient Boosting,0.6997052908952222,0.048864960124732355,0.6997052908952222,0.048864960124732355,0.7105654761904762
All 6 geometric,XGBoost,0.6895716017589292,0.053563955602806385,0.6895716017589292,0.053563955602806385,0.6830357142857143
