Variant,Classifier,CV_AUC_mean,CV_AUC_std,AUC_mean,AUC_std,Test_AUC
Entropy only (H_sem),Logistic Regression,0.7708612612612613,0.08918835354963886,0.7708612612612613,0.08918835354963886,0.9239631336405529
Entropy only (H_sem),ElasticNet Logit,0.7708612612612613,0.08918835354963886,0.7708612612612613,0.08918835354963886,0.9239631336405529
Entropy only (H_sem),Random Forest,0.6410288288288288,0.06594010617573601,0.6410288288288288,0.06594010617573601,0.8940092165898619
Entropy only (H_sem),Gradient Boosting,0.635664864864865,0.06544198947065845,0.635664864864865,0.06544198947065845,0.8356374807987712
Entropy only (H_sem),XGBoost,0.6750144144144145,0.07915964060424029,0.6750144144144145,0.07915964060424029,0.9185867895545315
"Geometry only (D_cos, D_cos_var, D_pair)",Logistic Regression,0.8062558558558559,0.07936999592762276,0.8062558558558559,0.07936999592762276,0.9370199692780337
"Geometry only (D_cos, D_cos_var, D_pair)",ElasticNet Logit,0.8058054054054054,0.0802139646608563,0.8058054054054054,0.0802139646608563,0.9385560675883255
"Geometry only (D_cos, D_cos_var, D_pair)",Random Forest,0.7456792792792794,0.08305442229000685,0.7456792792792794,0.08305442229000685,0.9493087557603687
"Geometry only (D_cos, D_cos_var, D_pair)",Gradient Boosting,0.6924144144144144,0.10865212445697449,0.6924144144144144,0.10865212445697449,0.9523809523809523
"Geometry only (D_cos, D_cos_var, D_pair)",XGBoost,0.6401981981981982,0.15321067441270936,0.6401981981981982,0.15321067441270936,0.9155145929339478
Entropy + Geometry,Logistic Regression,0.7984324324324324,0.08086231949873017,0.7984324324324324,0.08086231949873017,0.944700460829493
Entropy + Geometry,ElasticNet Logit,0.7985153153153153,0.07808566869085606,0.7985153153153153,0.07808566869085606,0.944700460829493
Entropy + Geometry,Random Forest,0.7377135135135134,0.0683292810951447,0.7377135135135134,0.0683292810951447,0.946236559139785
Entropy + Geometry,Gradient Boosting,0.6373531531531531,0.10436965428229258,0.6373531531531531,0.10436965428229258,0.82642089093702
Entropy + Geometry,XGBoost,0.6078396396396396,0.11783468745272167,0.6078396396396396,0.11783468745272167,0.9400921658986175
All 6 geometric,Logistic Regression,0.7964648648648649,0.07786241637305524,0.7964648648648649,0.07786241637305524,0.9477726574500768
All 6 geometric,ElasticNet Logit,0.7960144144144143,0.08056518106658846,0.7960144144144143,0.08056518106658846,0.9477726574500768
All 6 geometric,Random Forest,0.7190684684684683,0.0608221826137298,0.7190684684684683,0.0608221826137298,0.956989247311828
All 6 geometric,Gradient Boosting,0.6712792792792792,0.09952277410899539,0.6712792792792792,0.09952277410899539,0.9447004608294931
All 6 geometric,XGBoost,0.6301243243243244,0.10276706287480745,0.6301243243243244,0.10276706287480745,0.9477726574500768
