Variant,Classifier,CV_AUC_mean,CV_AUC_std,AUC_mean,AUC_std,Test_AUC
Entropy only (H_sem),Logistic Regression,0.9057852289010804,0.025413976968681258,0.9057852289010804,0.025413976968681258,0.930623973727422
Entropy only (H_sem),ElasticNet Logit,0.9057852289010804,0.025413976968681258,0.9057852289010804,0.025413976968681258,0.930623973727422
Entropy only (H_sem),Random Forest,0.8797380536606199,0.04586736773883492,0.8797380536606199,0.04586736773883492,0.9070197044334974
Entropy only (H_sem),Gradient Boosting,0.8868340036376168,0.03488482515575268,0.8868340036376168,0.03488482515575268,0.902504105090312
Entropy only (H_sem),XGBoost,0.8824513431644629,0.04239174480083011,0.8824513431644629,0.04239174480083011,0.9109195402298851
"Geometry only (D_cos, D_cos_var, D_pair)",Logistic Regression,0.9106079569158417,0.031181745453289403,0.9106079569158417,0.031181745453289403,0.9201559934318555
"Geometry only (D_cos, D_cos_var, D_pair)",ElasticNet Logit,0.9106068850885741,0.03149575168725515,0.9106068850885741,0.03149575168725515,0.9193349753694581
"Geometry only (D_cos, D_cos_var, D_pair)",Random Forest,0.8985758713543444,0.023214379284839867,0.8985758713543444,0.023214379284839867,0.9055829228243022
"Geometry only (D_cos, D_cos_var, D_pair)",Gradient Boosting,0.8886241200710374,0.022633137500927623,0.8886241200710374,0.022633137500927623,0.9261083743842365
"Geometry only (D_cos, D_cos_var, D_pair)",XGBoost,0.8805894555282376,0.01383949251536015,0.8805894555282376,0.01383949251536015,0.8715106732348111
Entropy + Geometry,Logistic Regression,0.9111183940399809,0.03234563246137951,0.9111183940399809,0.03234563246137951,0.9217980295566501
Entropy + Geometry,ElasticNet Logit,0.911634190300458,0.031946883248312755,0.911634190300458,0.031946883248312755,0.9213875205254516
Entropy + Geometry,Random Forest,0.9053940943966519,0.026787161764298333,0.9053940943966519,0.026787161764298333,0.9289819376026272
Entropy + Geometry,Gradient Boosting,0.9101555633606567,0.030830462033593665,0.9101555633606567,0.030830462033593665,0.9135878489326766
Entropy + Geometry,XGBoost,0.8939315613555152,0.027667200760546122,0.8939315613555152,0.027667200760546122,0.902504105090312
All 6 geometric,Logistic Regression,0.9117631393655772,0.03138623017070555,0.9117631393655772,0.03138623017070555,0.9217980295566501
All 6 geometric,ElasticNet Logit,0.9109894449748616,0.031787014941550125,0.9109894449748616,0.031787014941550125,0.9213875205254515
All 6 geometric,Random Forest,0.9021133960269836,0.02855090362370523,0.9021133960269836,0.02855090362370523,0.9277504105090312
All 6 geometric,Gradient Boosting,0.9064192559540004,0.03448929852839028,0.9064192559540004,0.03448929852839028,0.9234400656814451
All 6 geometric,XGBoost,0.8745999198602996,0.038852789088744455,0.8745999198602996,0.038852789088744455,0.9205665024630542
