prompt_id,question,domain,domain_inconsistent,adversarial,dataset,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,hall_rate_merged,p_halluc,score_mean,score_std,len_mean,len_std,H_sem,D_cos,D_cos_var,D_pair,K,sig2_S,label,type,domain_canonical,lam2,lam3,SGR,spectral_entropy,ipr_fiedler,HFER,largest_cluster_frac,second_largest_cluster_frac,singleton_cluster_frac
q_000,Who claimed the championship title in the 1950 FIFA World Cup?,Humanities,False,False,defan,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.6,1.9078784028338915,19.75,19.999687497558558,3.001609497043157,0.2177170515060424,0.0170530583709478,0.4084563851356506,11,0.0459257997572422,0,name,,7.61083459854126,8.899896621704102,0.8551598870743266,4.2204670906066895,0.11505240947008133,27.738951576398676,0.35,0.15,0.4
q_001,Which nation secured the second position in the 1950 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,48.3,28.72124649105606,2.9219280948714923,0.2811873853206634,0.0245916582643985,0.5087457895278931,11,0.0738503560423851,1,name,,4.3331499099731445,5.990729331970215,0.7233092437703202,4.192606449127197,0.159054696559906,17.826683428465003,0.4,0.1,0.4
q_002,What was the crowd size at the final match of the 1990 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,47.85,24.054677299851686,4.121928094861394,0.3392445147037506,0.0126291764900088,0.5930549502372742,18,0.0265500843524932,1,numeric,,4.783461093902588,5.383791446685791,0.888493013220694,4.215497016906738,0.4887208938598633,16.81737432028001,0.1,0.1,0.8
q_003,Which team emerged victorious in the 1994 FIFA World Cup?,Humanities,False,False,defan,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,4.0,1.7320508075688772,9.3,11.4109596441316,1.076297625720871,0.0973221287131309,0.0156076103448867,0.1949184983968734,3,0.0413970835506916,0,name,,7.6246161460876465,12.789752006530762,0.5961504285800714,4.228066921234131,0.8901340365409851,23.464784257191013,0.7,0.25,0.05
q_004,In which stadium did the climax of the 1938 FIFA World Cup occur?,Humanities,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.45,1.2031209415515969,33.85,16.322607022164075,3.4464393446508166,0.3066001534461975,0.012053401209414,0.5465225577354431,14,0.037539716809988,1,name,,5.536157131195068,6.727588176727295,0.8229036881474443,4.219020843505859,0.20502738654613495,20.219064548917913,0.3,0.1,0.6
q_005,Who took home the top honors in the 2018 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.25,8.595783850237279,0.4689955935863958,0.054104346781969,0.0123380478471517,0.1108221933245658,2,0.0302828587591648,0,name,,10.670433044433594,11.606450080871582,0.9193537180525023,4.234292507171631,0.40519750118255615,38.23552930302867,0.9,0.1,0.0
q_006,Who emerged as the victor of the 1954 FIFA World Cup?,Humanities,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.6,1.2,25.7,20.425719081589268,1.4190352743316528,0.1419525444507599,0.0356330052018165,0.2776367664337158,5,0.0809205770492553,0,name,,5.772837162017822,6.3076348304748535,0.9152142297418139,4.196674823760986,0.5834210515022278,17.811014143791,0.7,0.15,0.15
q_007,Which team achieved victory in the 1982 FIFA World Cup?,Humanities,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.6,1.2,13.85,18.03960919754084,1.0540157730684718,0.1158095374703407,0.0250293500721454,0.2296920418739318,3,0.0591294355690479,0,name,,8.673443794250488,10.02215576171875,0.8654269592102972,4.216423511505127,0.27822721004486084,32.290762260516885,0.75,0.15,0.0
q_008,Which stadium played host to the decisive match of the 1978 FIFA World Cup?,Humanities,False,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.15,1.6815171720800235,55.9,21.20353744071965,3.784183719757547,0.2590135335922241,0.0239436104893684,0.4746726453304291,15,0.0429682023823261,1,name,,2.4289045333862305,6.225907325744629,0.390128603334847,4.1947407722473145,0.9001191258430481,7.562797023627127,0.15,0.1,0.55
q_009,Which stadium hosted the 2006 FIFA World Cup final?,Humanities,False,False,defan,20,9,11,0,20,0.45,0.55,0.0,0.55,0.55,0.55,2.85,1.9563997546513847,60.2,16.476043214315748,3.021928094870049,0.207643836736679,0.017703466117382,0.3917597830295563,12,0.0404241904616355,1,name,,6.279200553894043,8.736907958984375,0.7186982598632053,4.219082355499268,0.8116632699966431,21.435413874899723,0.4,0.1,0.5
