Variant,Classifier,CV_AUC_mean,CV_AUC_std,AUC_mean,AUC_std,Test_AUC
Entropy only (H_sem),Logistic Regression,0.714570344266739,0.07755413259171332,0.714570344266739,0.07755413259171332,0.6491841491841492
Entropy only (H_sem),ElasticNet Logit,0.714570344266739,0.07755413259171332,0.714570344266739,0.07755413259171332,0.6491841491841492
Entropy only (H_sem),Random Forest,0.611370139453631,0.07396532309265508,0.611370139453631,0.07396532309265508,0.6544289044289044
Entropy only (H_sem),Gradient Boosting,0.5539351224360712,0.08715391290868434,0.5539351224360712,0.08715391290868434,0.6579254079254079
Entropy only (H_sem),XGBoost,0.580762627631698,0.0966954660041261,0.580762627631698,0.0966954660041261,0.6421911421911422
"Geometry only (D_cos, D_cos_var, D_pair)",Logistic Regression,0.7177780789735249,0.07292694717176869,0.7177780789735249,0.07292694717176869,0.7325174825174825
"Geometry only (D_cos, D_cos_var, D_pair)",ElasticNet Logit,0.7177856088672028,0.0737459181575583,0.7177856088672028,0.0737459181575583,0.7336829836829837
"Geometry only (D_cos, D_cos_var, D_pair)",Random Forest,0.6449097918737386,0.06403542988790116,0.6449097918737386,0.06403542988790116,0.6771561771561772
"Geometry only (D_cos, D_cos_var, D_pair)",Gradient Boosting,0.6148263606517876,0.09129603106838195,0.6148263606517876,0.09129603106838195,0.6296620046620047
"Geometry only (D_cos, D_cos_var, D_pair)",XGBoost,0.6020443661335502,0.06737019162637793,0.6020443661335502,0.06737019162637793,0.6596736596736597
Entropy + Geometry,Logistic Regression,0.7301240926478119,0.07440560161985924,0.7301240926478119,0.07440560161985924,0.7185314685314685
Entropy + Geometry,ElasticNet Logit,0.7302882443299901,0.07393306276403569,0.7302882443299901,0.07393306276403569,0.7208624708624709
Entropy + Geometry,Random Forest,0.6638007891328574,0.0554402212384828,0.6638007891328574,0.0554402212384828,0.7205710955710956
Entropy + Geometry,Gradient Boosting,0.6594786301617421,0.0643100728026497,0.6594786301617421,0.0643100728026497,0.696969696969697
Entropy + Geometry,XGBoost,0.6097210927381705,0.05467112885646432,0.6097210927381705,0.05467112885646432,0.6596736596736598
All 6 geometric,Logistic Regression,0.7262100539140388,0.07834920068727189,0.7262100539140388,0.07834920068727189,0.7202797202797202
All 6 geometric,ElasticNet Logit,0.7273305020933105,0.07879917098497148,0.7273305020933105,0.07879917098497148,0.7185314685314685
All 6 geometric,Random Forest,0.6561865606457638,0.05887562577585158,0.6561865606457638,0.05887562577585158,0.715034965034965
All 6 geometric,Gradient Boosting,0.6435001957772356,0.06176582557967636,0.6435001957772356,0.06176582557967636,0.6835664335664335
All 6 geometric,XGBoost,0.6148173247793741,0.05593577743290937,0.6148173247793741,0.05593577743290937,0.6384032634032634
