Variant,Classifier,AUC_mean,AUC_std
Entropy only (H_sem),Logistic Regression,0.8531183641237989,0.05800501315214458
Entropy only (H_sem),Random Forest,0.7131679009396401,0.11442832897784878
Entropy only (H_sem),XGBoost,0.7535234843658757,0.07831841333676708
"Geometry only (D_cos, M_bar)",Logistic Regression,0.8498125364973191,0.09863120462336421
"Geometry only (D_cos, M_bar)",Random Forest,0.8944281865477517,0.03881822805903964
"Geometry only (D_cos, M_bar)",XGBoost,0.8611079590699156,0.08015185937076082
Entropy + Geometry,Logistic Regression,0.8431275548123374,0.09139901290095369
Entropy + Geometry,Random Forest,0.8917094680681638,0.04814806460464453
Entropy + Geometry,XGBoost,0.8513845755693582,0.05828712242092932
All 5 geometric,Logistic Regression,0.8687516589690503,0.08600978250286223
All 5 geometric,Random Forest,0.9051985454159368,0.01271979207269409
All 5 geometric,XGBoost,0.862646984657854,0.04133279498360198
All 5 + refused + illogical,Logistic Regression,0.8466312974465147,0.09915854311350741
All 5 + refused + illogical,Random Forest,0.9171507538355366,0.03247905416668351
All 5 + refused + illogical,XGBoost,0.8645989276424059,0.03797224284580981
