row_id,label
C0001_q2_s01,1
C0001_q2_s02,1
C0001_q2_s03,1
C0001_q2_s04,0
C0001_q2_s05,1
C0001_q2_s06,0
C0001_q2_s07,1
C0001_q2_s08,1
C0001_q2_s09,0
C0001_q2_s10,1
C0001_q2_s11,1
C0001_q2_s12,1
C0001_q2_s13,1
C0001_q2_s14,1
C0001_q2_s15,1
C0002_q13_s01,1
C0002_q13_s02,1
C0002_q13_s03,1
C0002_q13_s04,1
C0002_q13_s05,1
C0002_q13_s06,1
C0002_q13_s07,1
C0002_q13_s08,1
C0002_q13_s09,1
C0002_q13_s10,1
C0002_q13_s11,1
C0002_q13_s12,1
C0002_q13_s13,1
C0002_q13_s14,1
C0002_q13_s15,1
C0003_q2_s01,1
C0003_q2_s02,0
C0003_q2_s03,1
C0003_q2_s04,1
C0003_q2_s05,1
C0003_q2_s06,0
C0003_q2_s07,1
C0003_q2_s08,0
C0003_q2_s09,0
C0003_q2_s10,0
C0003_q2_s11,0
C0003_q2_s12,1
C0003_q2_s13,1
C0003_q2_s14,1
C0003_q2_s15,0
C0004_q13_s01,0
C0004_q13_s02,1
C0004_q13_s03,0
C0004_q13_s04,0
C0004_q13_s05,0
C0004_q13_s06,0
C0004_q13_s07,0
C0004_q13_s08,1
C0004_q13_s09,1
C0004_q13_s10,0
C0004_q13_s11,0
C0004_q13_s12,0
C0004_q13_s13,0
C0004_q13_s14,0
C0004_q13_s15,0
C0005_q5_s01,1
C0005_q5_s02,1
C0005_q5_s03,1
C0005_q5_s04,0
C0005_q5_s05,1
C0005_q5_s06,1
C0005_q5_s07,1
C0005_q5_s08,1
C0005_q5_s09,1
C0005_q5_s10,0
C0005_q5_s11,1
C0005_q5_s12,1
C0005_q5_s13,1
C0005_q5_s14,1
C0005_q5_s15,1
C0006_q5_s01,1
C0006_q5_s02,1
C0006_q5_s03,1
C0006_q5_s04,1
C0006_q5_s05,1
C0006_q5_s06,1
C0006_q5_s07,1
C0006_q5_s08,1
C0006_q5_s09,1
C0006_q5_s10,0
C0006_q5_s11,1
C0006_q5_s12,1
C0006_q5_s13,1
C0006_q5_s14,1
C0006_q5_s15,1
C0007_q4_s01,1
C0007_q4_s02,1
C0007_q4_s03,1
C0007_q4_s04,1
C0007_q4_s05,1
C0007_q4_s06,1
C0007_q4_s07,1
C0007_q4_s08,1
C0007_q4_s09,1
C0007_q4_s10,1
C0007_q4_s11,1
C0007_q4_s12,1
C0007_q4_s13,0
C0007_q4_s14,1
C0007_q4_s15,1
C0008_q4_s01,1
C0008_q4_s02,0
C0008_q4_s03,0
C0008_q4_s04,1
C0008_q4_s05,1
C0008_q4_s06,1
C0008_q4_s07,0
C0008_q4_s08,1
C0008_q4_s09,1
C0008_q4_s10,0
C0008_q4_s11,0
C0008_q4_s12,1
