domain_canonical,n_questions,n_hallucinated,hall_rate_mean,hall_rate_std,mean_entropy,mean_frac_refused,pct_hallucinated,in_analysis
Geography,1,1,1.0,,-1.4428232973175175e-12,0.0,100.0,False
Language,1,1,1.0,,2.9659573209333048,0.0,100.0,False
Science,3,3,1.0,0.0,3.323325645521822,0.0,100.0,False
Sports,1,1,1.0,,3.7219280948657207,0.0,100.0,False
History,5,5,0.96,0.041833001326703735,0.9940935784978813,0.0,100.0,False
Entertainment,1,1,0.95,,3.1016094970417147,0.0,100.0,False
Literature,1,1,0.8,,2.7954618442224515,0.0,100.0,False
Humanities,126,98,0.7680312940890855,0.32070469130133694,2.620977296497284,0.03134920634920635,77.8,True
Law & Business,35,25,0.74,0.3147828383093933,3.001297836795659,0.0014285714285714286,71.4,True
Social Sciences,169,124,0.7281767600075989,0.34878096762158356,2.515008837452609,0.01952662721893491,73.4,True
Other,2,1,0.725,0.31819805153394637,3.258694969544086,0.0,50.0,False
Medicine & Health,50,32,0.648,0.3818536956714694,2.6591886564034626,0.0,64.0,True
STEM,101,65,0.6331162063574779,0.3931674534395564,2.190895388332643,0.0009900990099009901,64.4,True
Food & Nutrition,2,1,0.6,0.565685424949238,2.7828400246387837,0.0,50.0,False
Mathematics,2,1,0.3,0.4242640687119285,0.7183332409547369,0.0,50.0,False
