Domain,Classifier,AUC_mean,AUC_std,n_questions
Humanities,Logistic Regression,0.966,0.04442971978304607,72
Humanities,Random Forest,0.9650000000000001,0.03741657386773941,72
Humanities,XGBoost,0.9460000000000001,0.08522910301065002,72
Law & Business,Logistic Regression,0.9307692307692308,0.08565791327430801,72
Law & Business,Random Forest,0.9626373626373625,0.03322245375347465,72
Law & Business,XGBoost,0.9395604395604396,0.08954526939544334,72
Medicine & Health,Logistic Regression,0.9,0.07157832625958403,55
Medicine & Health,Random Forest,0.8083333333333332,0.15723301886761004,55
Medicine & Health,XGBoost,0.888888888888889,0.030429030972509284,55
STEM,Logistic Regression,0.9400621118012422,0.06838972679304568,153
STEM,Random Forest,0.9387681159420289,0.07085647208135977,153
STEM,XGBoost,0.9273550724637681,0.06759344891425395,153
Social Sciences,Logistic Regression,0.9200639939770374,0.0448600560354455,145
Social Sciences,Random Forest,0.8557124035384905,0.07165323359715547,145
Social Sciences,XGBoost,0.8487577639751553,0.07637423402415505,145
