Variant,Classifier,AUC_mean,AUC_std
Entropy only (H_sem),Logistic Regression,0.6992216644115379,0.04960879642076154
Entropy only (H_sem),Random Forest,0.6129530806745997,0.05559646852031533
Entropy only (H_sem),XGBoost,0.5746181034155717,0.09024528874500835
"Geometry only (D_cos, M_bar)",Logistic Regression,0.94259537930424,0.023636695373829116
"Geometry only (D_cos, M_bar)",Random Forest,0.933886788317168,0.034076492812447894
"Geometry only (D_cos, M_bar)",XGBoost,0.9228476165185026,0.03735590450752426
Entropy + Geometry,Logistic Regression,0.9430695886392089,0.022521489314749305
Entropy + Geometry,Random Forest,0.9229392969899299,0.03529883044260766
Entropy + Geometry,XGBoost,0.9109456998697505,0.03846539214635614
All 5 geometric,Logistic Regression,0.9459913504217301,0.018277651179247963
All 5 geometric,Random Forest,0.924924653405666,0.032095441257969905
All 5 geometric,XGBoost,0.9183982683982684,0.03774068920605286
All 5 + refused,Logistic Regression,0.945987345987346,0.018178795888395077
All 5 + refused,Random Forest,0.921552708894481,0.034626688619908086
All 5 + refused,XGBoost,0.9183982683982684,0.03774068920605286
